rank,company_name,ticker,isin,market_cap_crore,category
49,Marico,MARICO.NS,INE196A01026,72000,large_cap
50,Vedanta,VEDL.NS,INE205A01025,140000,large_cap
51,Mankind Pharma,MANKIND.NS,INE634S01028,68000,mid_cap
52,Torrent Pharmaceuticals,TORNTPHARM.NS,INE685A01028,65000,mid_cap
53,Muthoot Finance,MUTHOOTFIN.NS,INE414G01012,58000,mid_cap
54,Zomato,ZOMATO.NS,INE758T01015,185000,mid_cap
55,Trent,TRENT.NS,INE849A01020,72000,mid_cap
56,Cholamandalam Investment,CHOLAFIN.NS,INE121A01024,62000,mid_cap
57,PI Industries,PIIND.NS,INE603J01030,52000,mid_cap
58,Voltas,VOLTAS.NS,INE226A01021,36000,mid_cap
59,Abbott India,ABBOTINDIA.NS,INE358A01014,34000,mid_cap
60,Persistent Systems,PERSISTENT.NS,INE262H01021,72000,mid_cap
61,Coforge,COFORGE.NS,INE591G01017,40000,mid_cap
62,AU Small Finance Bank,AUBANK.NS,INE949L01017,45000,mid_cap
63,Schaeffler India,SCHAEFFLER.NS,INE513A01022,30000,mid_cap
64,Dalmia Bharat,DALBHARAT.NS,INE495F01020,32000,mid_cap
65,Syngene International,SYNGENE.NS,INE045K01011,25000,mid_cap
66,Radico Khaitan,RADICO.NS,INE944F01028,22000,mid_cap
67,Tube Investments,TIINDIA.NS,INE974X01010,42000,mid_cap
68,KPIT Technologies,KPITTECH.NS,INE158R01020,35000,mid_cap
69,Sundaram Finance,SUNDARMFIN.NS,INE660A01013,28000,mid_cap
70,Federal Bank,FEDERALBNK.NS,INE171A01029,36000,mid_cap
71,Aditya Birla Capital,ABCAPITAL.NS,INE674K01013,28000,mid_cap
72,Laurus Labs,LAURUSLABS.NS,INE947Q01028,18000,mid_cap
73,Max Financial Services,MFSL.NS,INE180A01020,28000,mid_cap
74,City Union Bank,CUB.NS,INE491A01021,13000,mid_cap
75,Elgi Equipments,ELGIEQUIP.NS,INE285A01027,14000,mid_cap
76,Grindwell Norton,GRINDWELL.NS,INE536A01023,12000,mid_cap
77,Fine Organic Industries,FINEORG.NS,INE579B01010,12000,mid_cap
78,Galaxy Surfactants,GALAXYSURF.NS,INE735P01025,10000,mid_cap
79,K.P.R. Mill,KPRMILL.NS,INE930H01023,13000,mid_cap
80,La Opala RG,LAOPALA.NS,INE059D01020,7000,mid_cap
81,Happiest Minds Technologies,HAPPSTMNDS.NS,INE419U01012,14000,mid_cap
82,Vinati Organics,VINATIORGA.NS,INE410M01019,11000,mid_cap
83,Safari Industries,SAFARI.NS,INE502M01012,8000,mid_cap
84,Alkyl Amines Chemicals,ALKYLAMINE.NS,INE150E01021,8000,mid_cap
85,Alembic Pharmaceuticals,APLLTD.NS,INE901L01018,9000,mid_cap
86,Aarti Industries,AARTIIND.NS,INE769A01020,18000,mid_cap
87,PNB Housing Finance,PNBHOUSING.NS,INE572E01012,17000,mid_cap
88,Ujjivan Small Finance,UJJIVANSFB.NS,INE334L01012,9000,mid_cap
89,Birlasoft,BSOFT.NS,INE836A01035,16000,mid_cap
90,Asahi India Glass,ASAHIINDIA.NS,INE439A01020,11000,mid_cap
91,Creditaccess Grameen,CREDITACC.NS,INE741K01010,14000,mid_cap
92,Deepak Nitrite,DEEPAKNTR.NS,INE288B01029,20000,mid_cap
93,Edelweiss Financial,EDELWEISS.NS,INE532F01054,10000,mid_cap
94,Zensar Technologies,ZENSARTECH.NS,INE520A01027,12000,mid_cap
95,Sona BLW Precision,SONACOMS.NS,INE073K01018,22000,mid_cap
96,V-Mart Retail,VMART.NS,INE665J01013,8000,mid_cap
97,PB Fintech (Policybazaar),POLICYBZR.NS,INE417T01026,42000,mid_cap
98,Nykaa,FSN.NS,INE388Y01029,36000,mid_cap
99,Vedant Fashions (Manyavar),MANYAVAR.NS,INE825T01014,24000,mid_cap
100,Tanla Platforms,TANLA.NS,INE483C01032,15000,mid_cap
251,CAMS (CAMStech),CAMS.NS,INE172N01012,13000,small_cap
252,PTC India Financial,PTCIL.NS,INE468H01015,7000,small_cap
253,Va Tech Wabag,WABAG.NS,INE142J01025,6000,small_cap
254,Hathway Cable,HATHWAY.NS,INE982F01036,4000,small_cap
255,Equitas Small Finance,EQUITASBNK.NS,INE063P01018,7000,small_cap
256,JK Paper,JKPAPER.NS,INE789E01012,8000,small_cap
257,Triveni Engineering,TRIVENI.NS,INE256C01024,6000,small_cap
258,Arman Financial,ARMANFIN.NS,INE109J01012,4000,small_cap
259,Kitex Garments,KITEX.NS,INE602G01020,5000,small_cap
260,Mold-Tek Packaging,MOLDTKPAC.NS,INE893J01033,5000,small_cap
